Anzahl Zeichen;Zeit Normal;Zeit Parallel
160000;27;15
910000;233;134
60000;9;5
1000000;237;135
480000;111;60
950000;218;124
570000;126;72
290000;53;28
120000;20;11
890000;215;123
440000;103;56
630000;156;88
310000;57;30
760000;184;112
390000;86;48
540000;118;66
810000;203;114
500000;105;58
250000;45;24
660000;153;89
350000;65;35
210000;37;21
400000;91;50
20000;3;1
850000;213;117
990000;239;136
770000;184;112
150000;25;15
70000;11;6
320000;58;31
490000;96;53
730000;181;106
900000;214;124
940000;225;137
620000;136;79
280000;51;27
450000;107;59
530000;124;70
240000;44;24
690000;155;94
200000;35;20
820000;197;115
650000;162;92
410000;91;50
860000;198;114
190000;34;19
980000;228;125
30000;4;2
360000;66;36
700000;155;87
460000;108;59
610000;147;85
780000;186;110
40000;6;3
180000;32;18
330000;61;33
740000;180;109
420000;97;54
800000;179;102
270000;48;26
80000;13;7
140000;24;14
590000;134;78
930000;234;137
230000;41;23
520000;115;65
830000;202;114
560000;136;81
970000;230;133
870000;205;125
110000;18;10
710000;154;85
370000;82;46
680000;157;94
300000;54;29
600000;146;86
470000;105;58
750000;173;100
920000;223;119
170000;29;17
50000;8;4
790000;179;106
580000;139;84
880000;218;124
640000;146;86
90000;14;8
430000;99;55
130000;21;12
840000;206;123
550000;122;66
380000;82;46
510000;114;70
260000;47;25
100000;16;9
960000;230;129
10000;1;2
720000;168;101
340000;63;34
670000;175;98
220000;39;22
